# x_m,y_m,w_tr_right_m,w_tr_left_m,yaw
126.793,-308.096,7.576,4.374,-1.1321770174887715
127.218,-309.002,7.381,4.552,-1.1129626057759348
127.66,-309.899,7.194,4.73,-1.0968536473303627
128.116,-310.788,7.008,4.894,-1.083013932451553
128.585,-311.672,6.832,5.048,-1.0691357179174348
129.066,-312.549,6.683,5.193,-1.0583523586896089
129.556,-313.42,6.547,5.324,-1.0507821572108604
130.053,-314.288,6.414,5.44,-1.0413540871259186
130.558,-315.151,6.285,5.547,-1.0368925093511565
131.067,-316.012,6.155,5.654,-1.031920829414714
131.58,-316.87,6.026,5.763,-1.0288338824375625
132.096,-317.727,5.904,5.864,-1.0274613828895673
132.613,-318.583,5.782,5.958,-1.028317804039468
133.129,-319.439,5.668,6.056,-1.028833882437538
133.645,-320.296,5.553,6.164,-1.0332922701590772
134.157,-321.155,5.443,6.269,-1.0368925093512098
134.666,-322.016,5.34,6.375,-1.042217700940795
135.17,-322.879,5.235,6.493,-1.0499149639181795
135.668,-323.747,5.127,6.614,-1.0583523586896058
136.158,-324.618,5.012,6.734,-1.0691357179174372
136.639,-325.495,4.896,6.859,-1.0794277348663306
137.111,-326.377,4.772,6.986,-1.092838424590912
137.571,-327.265,4.639,7.114,-1.1071487177940904
138.018,-328.159,4.5,7.259,-1.1219061437186943
138.452,-329.06,4.346,7.411,-1.1393667510241487
138.87,-329.968,4.186,7.567,-1.1585575197286977
139.271,-330.885,4.015,7.711,-1.1774677570491463
139.654,-331.808,3.839,7.839,-1.199387359299904
140.017,-332.74,3.663,7.97,-1.2227942909336458
140.358,-333.68,3.5,8.089,-1.246200380140524
140.677,-334.628,3.352,8.23,-1.2724444107913044
140.971,-335.584,3.219,8.37,-1.2993675229755366
141.239,-336.547,3.091,8.503,-1.3275146317360815
141.48,-337.518,2.995,8.635,-1.3571181173954072
141.692,-338.495,2.909,8.772,-1.388705694269225
141.873,-339.478,2.83,8.889,-1.4212636739789861
142.022,-340.467,2.768,8.992,-1.4556142496245392
142.137,-341.461,2.729,9.076,-1.4896496073452046
142.218,-342.457,2.692,9.144,-1.5257817110203549
142.263,-343.456,2.664,9.174,-1.5627964974550286
142.271,-344.456,2.631,9.178,-1.6007873316517474
142.241,-345.456,2.606,9.18,-1.638895475196309
142.173,-346.453,2.594,9.196,-1.6800178780551198
142.064,-347.447,2.575,9.218,-1.7203289796108072
141.915,-348.436,2.56,9.24,-1.7609356892299566
141.726,-349.418,2.56,9.272,-1.802917862418927
141.496,-350.391,2.549,9.322,-1.8451141312437724
141.225,-351.354,2.54,9.378,-1.8881193326405004
140.913,-352.304,2.538,9.433,-1.9317920782979088
140.56,-353.239,2.524,9.484,-1.9745068562465453
140.167,-354.159,2.516,9.526,-2.018785260468956
139.734,-355.06,2.52,9.554,-2.0630458789622397
139.261,-355.942,2.51,9.543,-2.106070074885041
138.751,-356.802,2.5,9.52,-2.151029941257044
138.203,-357.638,2.501,9.485,-2.195695860637928
137.618,-358.449,2.508,9.434,-2.2392922292071247
136.998,-359.234,2.503,9.379,-2.283979859039616
136.344,-359.99,2.492,9.328,-2.3279134893216327
135.657,-360.717,2.494,9.298,-2.37316598644574
134.938,-361.412,2.491,9.29,-2.4163627413473403
134.19,-362.075,2.491,9.279,-2.4602944283019395
133.413,-362.705,2.495,9.266,-2.5044901777256565
132.609,-363.3,2.505,9.252,-2.5483196411442406
131.78,-363.859,2.519,9.248,-2.5924270206522433
130.927,-364.381,2.53,9.245,-2.6341056488284584
130.053,-364.867,2.534,9.238,-2.6770505904447175
129.159,-365.315,2.535,9.239,-2.7200160407533422
128.247,-365.724,2.538,9.25,-2.7616431726514974
127.318,-366.095,2.539,9.273,-2.8021336405572463
126.375,-366.428,2.55,9.3,-2.843240737586224
125.419,-366.722,2.555,9.328,-2.883759981007932
124.452,-366.977,2.564,9.345,-2.921839109442643
123.476,-367.195,2.578,9.345,-2.96048613377824
122.493,-367.375,2.604,9.315,-2.997151075215143
121.503,-367.519,2.642,9.258,-3.0343596982764596
120.509,-367.626,2.694,9.2,-3.0685034217497873
119.512,-367.699,2.765,9.111,-3.1015739904521693
118.513,-367.739,2.852,8.996,-3.1345927679197603
117.513,-367.746,2.952,8.854,3.116597859970896
116.513,-367.721,3.064,8.695,3.087591153213795
115.514,-367.667,3.201,8.547,3.0594485960426057
114.518,-367.585,3.34,8.415,3.0313771285002904
113.524,-367.475,3.492,8.271,3.0071908623855705
112.533,-367.341,3.664,8.144,2.981870661927725
111.546,-367.182,3.831,7.994,2.959683015089287
110.562,-367.001,3.994,7.834,2.9371356183329556
109.583,-366.798,4.145,7.676,2.917717116300129
108.608,-366.576,4.295,7.511,2.899281297425431
107.637,-366.336,4.448,7.344,2.8815702334232487
106.671,-366.079,4.598,7.18,2.8650787069722963
105.709,-365.806,4.735,7.022,2.850518964159769
104.751,-365.519,4.865,6.883,2.8359646350795527
103.797,-365.218,4.986,6.759,2.8233197962066776
102.847,-364.905,5.092,6.646,2.8116196406055245
101.901,-364.581,5.182,6.555,2.8008570386943052
100.959,-364.247,5.267,6.468,2.7913687837518184
100.02,-363.904,5.345,6.377,2.782237324826459
99.083,-363.552,5.415,6.296,2.7733419302459974
98.15,-363.192,5.475,6.228,2.766660354756127
97.22,-362.826,5.527,6.167,2.7594152791466553
96.292,-362.453,5.572,6.121,2.7540310649100865
95.366,-362.075,5.613,6.083,2.748647259703046
94.442,-361.692,5.644,6.055,2.7437985399140303
93.521,-361.305,5.67,6.03,2.739193319181315
92.6,-360.913,5.698,6.016,2.735255591737599
91.682,-360.518,5.725,6.005,2.732501416925605
90.764,-360.12,5.746,5.989,2.728953156278598
89.848,-359.719,5.766,5.975,2.7267195859643745
88.933,-359.316,5.782,5.964,2.7235713696931003
88.019,-358.91,5.79,5.955,2.722251006039732
87.106,-358.503,5.795,5.948,2.720425066499163
86.193,-358.094,5.798,5.932,2.7191035245223194
85.281,-357.684,5.801,5.919,2.716868974072034
84.37,-357.272,5.802,5.914,2.7168689740720855
83.459,-356.86,5.803,5.909,2.7150478666078075
82.548,-356.446,5.803,5.901,2.714634034647163
81.638,-356.032,5.807,5.896,2.7137239529911286
80.728,-355.617,5.81,5.898,2.712398728478587
79.819,-355.201,5.817,5.897,2.7123987284785933
78.91,-354.785,5.825,5.888,2.7128146261437784
78.0,-354.369,5.832,5.888,2.7114895041506406
77.091,-353.952,5.838,5.892,2.711072195784008
76.183,-353.535,5.841,5.887,2.7114895041506406
75.274,-353.118,5.842,5.878,2.7105810376705555
74.365,-352.7,5.844,5.868,2.7101630778190393
73.457,-352.282,5.847,5.855,2.7105810376705497
72.548,-351.864,5.849,5.84,2.710163077819091
71.64,-351.446,5.851,5.823,2.7105810376705555
70.731,-351.028,5.851,5.811,2.7101630778190393
69.823,-350.61,5.849,5.795,2.7101630778190335
68.915,-350.192,5.847,5.779,2.7105810376705555
68.006,-349.774,5.846,5.766,2.709254720175884
67.098,-349.355,5.835,5.765,2.7101630778190393
66.19,-348.937,5.823,5.771,2.709673329588772
65.281,-348.518,5.814,5.774,2.710163077819091
64.373,-348.1,5.801,5.78,2.7092547201758324
63.465,-347.681,5.785,5.775,2.709254720175884
62.557,-347.262,5.757,5.765,2.709254720175884
61.649,-346.843,5.741,5.752,2.708347123398139
60.741,-346.423,5.729,5.735,2.7088353498964883
59.834,-346.004,5.716,5.724,2.708347123398139
58.926,-345.584,5.708,5.721,2.707019623318284
